id,descricao,tamanho,preco
1646,Roupa 1646,G,2325.34
1647,Roupa 1647,GG,639.49
1648,Roupa 1648,P,1361.32
1649,Roupa 1649,M,2703.67
1650,Roupa 1650,GG,4829.0
1651,Roupa 1651,G,4909.21
1652,Roupa 1652,M,4004.48
1653,Roupa 1653,G,4368.2
1654,Roupa 1654,PP,848.2
1655,Roupa 1655,G,1629.92
1656,Roupa 1656,M,2759.05
1657,Roupa 1657,M,4479.55
1658,Roupa 1658,P,1016.54
1659,Roupa 1659,PP,3067.2
1660,Roupa 1660,M,329.51
1661,Roupa 1661,G,3038.54
1662,Roupa 1662,P,2660.34
1663,Roupa 1663,P,2343.64
1664,Roupa 1664,P,1241.89
1665,Roupa 1665,M,2340.42
1666,Roupa 1666,GG,4573.85
1667,Roupa 1667,M,190.57
1668,Roupa 1668,GG,2757.91
1669,Roupa 1669,G,1644.05
1670,Roupa 1670,P,4801.44
1671,Roupa 1671,GG,1220.82
1672,Roupa 1672,GG,4669.18
1673,Roupa 1673,G,1702.76
1674,Roupa 1674,PP,554.17
1675,Roupa 1675,M,3637.25
1676,Roupa 1676,M,667.65
1677,Roupa 1677,M,1382.23
1678,Roupa 1678,GG,423.77
1679,Roupa 1679,M,2254.16
1680,Roupa 1680,P,2379.25
1681,Roupa 1681,GG,804.29
1682,Roupa 1682,M,3364.9
1683,Roupa 1683,P,4457.5
1684,Roupa 1684,PP,1894.39
1685,Roupa 1685,PP,2405.55
1686,Roupa 1686,P,2078.68
1687,Roupa 1687,PP,4465.18
1688,Roupa 1688,P,1430.38
1689,Roupa 1689,P,2207.47
1690,Roupa 1690,G,3686.34
1691,Roupa 1691,G,4705.62
1692,Roupa 1692,PP,1889.45
1693,Roupa 1693,GG,292.03
1694,Roupa 1694,G,4334.23
1695,Roupa 1695,M,3522.9
1696,Roupa 1696,M,3738.62
1697,Roupa 1697,PP,1360.44
1698,Roupa 1698,G,2954.19
1699,Roupa 1699,P,1535.45
1700,Roupa 1700,PP,760.24
1701,Roupa 1701,M,4327.94
1702,Roupa 1702,PP,4718.0
1703,Roupa 1703,P,2262.79
1704,Roupa 1704,PP,854.03
1705,Roupa 1705,PP,704.23
1706,Roupa 1706,M,215.44
1707,Roupa 1707,P,4671.37
1708,Roupa 1708,G,3585.97
1709,Roupa 1709,G,4078.0
1710,Roupa 1710,PP,778.8
1711,Roupa 1711,G,3837.47
1712,Roupa 1712,PP,413.29
1713,Roupa 1713,P,2199.17
1714,Roupa 1714,PP,1249.33
1715,Roupa 1715,M,3641.45
1716,Roupa 1716,PP,1681.74
1717,Roupa 1717,P,4676.91
1718,Roupa 1718,PP,4471.88
1719,Roupa 1719,GG,3717.46
1720,Roupa 1720,M,4582.77
1721,Roupa 1721,G,1214.04
1722,Roupa 1722,G,920.56
1723,Roupa 1723,P,2676.06
1724,Roupa 1724,M,2767.56
1725,Roupa 1725,M,3946.59
1726,Roupa 1726,G,1726.93
1727,Roupa 1727,PP,4083.63
1728,Roupa 1728,G,724.23
1729,Roupa 1729,GG,351.21
1730,Roupa 1730,P,4789.95
1731,Roupa 1731,P,4431.29
1732,Roupa 1732,M,618.89
1733,Roupa 1733,GG,3183.56
1734,Roupa 1734,M,314.86
1735,Roupa 1735,M,839.48
1736,Roupa 1736,GG,3830.52
1737,Roupa 1737,M,1628.72
1738,Roupa 1738,G,3774.63
1739,Roupa 1739,GG,2814.05
1740,Roupa 1740,P,2518.55
1741,Roupa 1741,PP,3572.7
1742,Roupa 1742,P,1585.08
1743,Roupa 1743,G,1318.08
1744,Roupa 1744,PP,4351.24
1745,Roupa 1745,G,1651.3
1746,Roupa 1746,G,307.58
1747,Roupa 1747,G,3865.61
1748,Roupa 1748,GG,3661.68
1749,Roupa 1749,M,2265.07
1750,Roupa 1750,M,1394.65
1751,Roupa 1751,M,948.85
1752,Roupa 1752,M,4313.16
1753,Roupa 1753,GG,2036.55
1754,Roupa 1754,G,4828.36
1755,Roupa 1755,M,695.26
1756,Roupa 1756,PP,1508.67
1757,Roupa 1757,P,2692.31
1758,Roupa 1758,P,4532.53
1759,Roupa 1759,P,1555.24
1760,Roupa 1760,P,287.06
1761,Roupa 1761,M,4533.77
1762,Roupa 1762,GG,4919.74
1763,Roupa 1763,PP,584.97
1764,Roupa 1764,P,3041.51
1765,Roupa 1765,P,913.35
1766,Roupa 1766,G,925.25
1767,Roupa 1767,P,3183.99
1768,Roupa 1768,GG,4180.79
1769,Roupa 1769,G,3187.31
1770,Roupa 1770,GG,4622.11
1771,Roupa 1771,M,1525.99
1772,Roupa 1772,P,844.69
1773,Roupa 1773,PP,4288.71
1774,Roupa 1774,GG,2098.18
1775,Roupa 1775,GG,4785.38
1776,Roupa 1776,GG,1585.27
1777,Roupa 1777,G,4111.68
1778,Roupa 1778,PP,3691.77
1779,Roupa 1779,GG,3936.91
1780,Roupa 1780,P,1842.51
1781,Roupa 1781,P,2148.47
1782,Roupa 1782,P,669.8
1783,Roupa 1783,M,1105.19
1784,Roupa 1784,PP,19.76
1785,Roupa 1785,PP,2015.88
1786,Roupa 1786,GG,1772.24
1787,Roupa 1787,PP,4672.4
1788,Roupa 1788,P,3785.75
1789,Roupa 1789,PP,4535.02
1790,Roupa 1790,P,4194.97
1791,Roupa 1791,G,3181.23
1792,Roupa 1792,G,2508.15
1793,Roupa 1793,GG,4885.45
1794,Roupa 1794,G,4708.37
1795,Roupa 1795,PP,3186.42
1796,Roupa 1796,GG,2263.72
1797,Roupa 1797,GG,3267.53
1798,Roupa 1798,PP,1792.21
1799,Roupa 1799,G,4047.7
1800,Roupa 1800,G,4428.27
1801,Roupa 1801,GG,3836.82
1802,Roupa 1802,GG,982.02
1803,Roupa 1803,PP,4842.93
1804,Roupa 1804,G,4987.42
1805,Roupa 1805,PP,3508.43
1806,Roupa 1806,P,4683.33
1807,Roupa 1807,GG,2206.74
1808,Roupa 1808,P,4723.87
1809,Roupa 1809,M,3429.5
1810,Roupa 1810,P,2228.29
1811,Roupa 1811,P,2212.02
1812,Roupa 1812,GG,3765.44
1813,Roupa 1813,P,3667.63
1814,Roupa 1814,PP,818.74
1815,Roupa 1815,PP,2962.02
1816,Roupa 1816,M,1878.25
1817,Roupa 1817,GG,3647.26
1818,Roupa 1818,PP,4932.43
1819,Roupa 1819,M,4594.85
1820,Roupa 1820,M,3673.87
1821,Roupa 1821,P,2160.97
1822,Roupa 1822,PP,1810.94
1823,Roupa 1823,G,324.3
1824,Roupa 1824,P,4924.36
1825,Roupa 1825,M,1724.96
1826,Roupa 1826,GG,512.13
1827,Roupa 1827,M,519.69
1828,Roupa 1828,GG,4983.62
1829,Roupa 1829,PP,4109.51
1830,Roupa 1830,M,884.97
1831,Roupa 1831,P,1456.3
1832,Roupa 1832,M,4822.12
1833,Roupa 1833,P,4520.08
1834,Roupa 1834,PP,33.65
1835,Roupa 1835,GG,3271.82
1836,Roupa 1836,PP,764.15
1837,Roupa 1837,M,4883.25
1838,Roupa 1838,P,2922.15
1839,Roupa 1839,P,2699.84
1840,Roupa 1840,M,2635.98
1841,Roupa 1841,G,472.94
1842,Roupa 1842,GG,3560.15
1843,Roupa 1843,PP,1265.54
1844,Roupa 1844,P,2565.56
1845,Roupa 1845,PP,366.27
1846,Roupa 1846,G,2068.9
1847,Roupa 1847,G,3404.53
1848,Roupa 1848,M,3222.49
1849,Roupa 1849,G,4448.94
1850,Roupa 1850,M,4875.23
1851,Roupa 1851,P,2787.11
1852,Roupa 1852,G,4819.63
1853,Roupa 1853,M,542.79
1854,Roupa 1854,GG,3935.23
1855,Roupa 1855,G,2970.63
1856,Roupa 1856,PP,1129.81
1857,Roupa 1857,M,1905.01
1858,Roupa 1858,G,4480.2
1859,Roupa 1859,G,2135.93
1860,Roupa 1860,G,1128.66
1861,Roupa 1861,P,495.41
1862,Roupa 1862,PP,1582.03
1863,Roupa 1863,G,1954.17
1864,Roupa 1864,PP,4450.95
1865,Roupa 1865,M,1562.69
1866,Roupa 1866,PP,1911.82
1867,Roupa 1867,G,639.75
1868,Roupa 1868,G,4948.35
1869,Roupa 1869,P,2915.86
1870,Roupa 1870,M,4577.06
1871,Roupa 1871,G,780.72
1872,Roupa 1872,PP,2026.65
1873,Roupa 1873,M,1717.37
1874,Roupa 1874,GG,3566.18
1875,Roupa 1875,PP,4646.14
1876,Roupa 1876,GG,1358.06
1877,Roupa 1877,G,1163.68
1878,Roupa 1878,G,2576.89
1879,Roupa 1879,M,1520.12
1880,Roupa 1880,PP,2605.4
1881,Roupa 1881,P,2936.96
1882,Roupa 1882,M,4043.97
1883,Roupa 1883,P,3224.35
1884,Roupa 1884,M,4729.59
1885,Roupa 1885,PP,891.39
1886,Roupa 1886,M,115.74
1887,Roupa 1887,M,744.02
1888,Roupa 1888,M,1217.1
1889,Roupa 1889,M,4884.23
1890,Roupa 1890,PP,3333.29
1891,Roupa 1891,M,1699.93
1892,Roupa 1892,G,3364.35
1893,Roupa 1893,GG,1305.72
1894,Roupa 1894,PP,2818.9
1895,Roupa 1895,G,3324.66
1896,Roupa 1896,M,3310.26
1897,Roupa 1897,PP,4139.74
1898,Roupa 1898,P,2625.84
1899,Roupa 1899,P,2697.91
1900,Roupa 1900,P,1499.27
1901,Roupa 1901,M,1551.07
1902,Roupa 1902,G,2485.06
1903,Roupa 1903,M,3015.91
1904,Roupa 1904,PP,3098.8
1905,Roupa 1905,GG,506.95
1906,Roupa 1906,GG,3486.46
1907,Roupa 1907,PP,2294.63
1908,Roupa 1908,PP,3715.98
1909,Roupa 1909,PP,4795.52
1910,Roupa 1910,GG,710.16
1911,Roupa 1911,P,1978.24
1912,Roupa 1912,P,3181.03
1913,Roupa 1913,GG,779.13
1914,Roupa 1914,PP,1471.09
1915,Roupa 1915,P,3421.12
1916,Roupa 1916,GG,3297.43
1917,Roupa 1917,M,4660.93
1918,Roupa 1918,M,469.47
1919,Roupa 1919,PP,1964.29
1920,Roupa 1920,GG,275.86
1921,Roupa 1921,M,2184.69
1922,Roupa 1922,PP,2668.47
1923,Roupa 1923,P,384.37
1924,Roupa 1924,G,3281.7
1925,Roupa 1925,GG,1530.79
1926,Roupa 1926,G,81.04
1927,Roupa 1927,M,2348.78
1928,Roupa 1928,GG,601.99
1929,Roupa 1929,GG,1822.23
1930,Roupa 1930,G,2978.53
1931,Roupa 1931,P,3370.12
1932,Roupa 1932,P,2380.69
1933,Roupa 1933,PP,188.43
1934,Roupa 1934,GG,4056.37
1935,Roupa 1935,P,786.76
1936,Roupa 1936,M,1728.41
1937,Roupa 1937,M,1250.12
1938,Roupa 1938,G,4052.24
1939,Roupa 1939,PP,2388.35
1940,Roupa 1940,G,526.16
1941,Roupa 1941,M,634.64
1942,Roupa 1942,G,1763.98
1943,Roupa 1943,GG,96.58
1944,Roupa 1944,P,3594.72
1945,Roupa 1945,P,3766.0
1946,Roupa 1946,GG,352.08
1947,Roupa 1947,GG,4693.51
1948,Roupa 1948,P,4945.08
1949,Roupa 1949,G,2223.58
1950,Roupa 1950,GG,3215.06
1951,Roupa 1951,M,4900.52
1952,Roupa 1952,P,4820.08
1953,Roupa 1953,M,992.59
1954,Roupa 1954,GG,2813.14
1955,Roupa 1955,P,3966.48
1956,Roupa 1956,P,4723.95
1957,Roupa 1957,M,1383.73
1958,Roupa 1958,PP,140.88
1959,Roupa 1959,G,4145.19
1960,Roupa 1960,GG,3956.49
1961,Roupa 1961,G,3991.76
1962,Roupa 1962,G,1293.43
1963,Roupa 1963,PP,1158.37
1964,Roupa 1964,PP,1446.11
1965,Roupa 1965,G,416.75
1966,Roupa 1966,M,2601.35
1967,Roupa 1967,G,4072.02
1968,Roupa 1968,G,14.39
1969,Roupa 1969,G,2822.88
1970,Roupa 1970,P,4204.68
1971,Roupa 1971,P,3617.06
1972,Roupa 1972,GG,2196.09
1973,Roupa 1973,PP,4579.92
1974,Roupa 1974,P,2629.27
1975,Roupa 1975,P,2792.72
1976,Roupa 1976,M,1426.39
1977,Roupa 1977,P,1821.18
1978,Roupa 1978,G,1814.94
1979,Roupa 1979,GG,1853.25
1980,Roupa 1980,GG,4947.14
1981,Roupa 1981,G,2219.68
1982,Roupa 1982,GG,2044.25
1983,Roupa 1983,M,1530.07
1984,Roupa 1984,PP,2412.41
1985,Roupa 1985,M,2167.55
1986,Roupa 1986,GG,4874.31
1987,Roupa 1987,GG,570.29
1988,Roupa 1988,M,873.91
1989,Roupa 1989,G,895.14
1990,Roupa 1990,M,2628.85
1991,Roupa 1991,GG,1245.85
1992,Roupa 1992,P,3195.74
1993,Roupa 1993,G,4076.63
1994,Roupa 1994,PP,872.0
1995,Roupa 1995,GG,3622.16
1996,Roupa 1996,GG,105.49
1997,Roupa 1997,G,3077.69
1998,Roupa 1998,G,1173.68
1999,Roupa 1999,M,566.76
2000,Roupa 2000,GG,1263.69
2001,Roupa 2001,G,4718.73
2002,Roupa 2002,M,518.37
2003,Roupa 2003,M,1223.46
2004,Roupa 2004,GG,1000.51
2005,Roupa 2005,P,115.67
2006,Roupa 2006,GG,2205.53
2007,Roupa 2007,GG,882.82
2008,Roupa 2008,PP,3073.5
2009,Roupa 2009,M,2980.19
2010,Roupa 2010,M,2819.15
2011,Roupa 2011,M,1634.26
2012,Roupa 2012,PP,2357.89
2013,Roupa 2013,P,4123.64
2014,Roupa 2014,PP,1976.49
2015,Roupa 2015,PP,3300.37
2016,Roupa 2016,G,2384.59
2017,Roupa 2017,G,4867.05
2018,Roupa 2018,PP,4122.55
2019,Roupa 2019,G,1827.02
2020,Roupa 2020,G,4052.92
2021,Roupa 2021,GG,1056.11
2022,Roupa 2022,PP,1445.93
2023,Roupa 2023,PP,3491.26
2024,Roupa 2024,P,1595.45
2025,Roupa 2025,PP,3795.07
2026,Roupa 2026,PP,4886.66
2027,Roupa 2027,PP,404.07
2028,Roupa 2028,G,3280.71
2029,Roupa 2029,GG,157.11
2030,Roupa 2030,G,4358.15
2031,Roupa 2031,G,872.45
2032,Roupa 2032,GG,4551.04
2033,Roupa 2033,P,1418.55
2034,Roupa 2034,P,1045.83
2035,Roupa 2035,PP,3674.96
2036,Roupa 2036,M,3484.48
2037,Roupa 2037,M,3257.99
2038,Roupa 2038,M,4049.15
2039,Roupa 2039,GG,4220.16
2040,Roupa 2040,PP,761.4
2041,Roupa 2041,PP,798.73
2042,Roupa 2042,P,775.51
2043,Roupa 2043,PP,3618.19
2044,Roupa 2044,P,1305.58
2045,Roupa 2045,P,3044.04
2046,Roupa 2046,P,4137.65
2047,Roupa 2047,GG,781.65
2048,Roupa 2048,GG,1843.34
2049,Roupa 2049,P,4810.2
2050,Roupa 2050,PP,2183.96
2051,Roupa 2051,P,1886.9
2052,Roupa 2052,GG,2301.76
2053,Roupa 2053,M,4443.15
2054,Roupa 2054,GG,2786.31
2055,Roupa 2055,P,4684.85
2056,Roupa 2056,GG,4792.31
2057,Roupa 2057,GG,3250.46
2058,Roupa 2058,GG,4131.4
2059,Roupa 2059,G,2831.86
2060,Roupa 2060,GG,2216.96
2061,Roupa 2061,GG,2966.86
2062,Roupa 2062,PP,1489.43
2063,Roupa 2063,GG,1774.52
2064,Roupa 2064,P,4628.21
2065,Roupa 2065,M,755.52
2066,Roupa 2066,G,3067.86
2067,Roupa 2067,G,3090.4
2068,Roupa 2068,M,2343.93
2069,Roupa 2069,P,424.61
2070,Roupa 2070,P,1452.4
2071,Roupa 2071,P,4916.17
2072,Roupa 2072,P,760.63
2073,Roupa 2073,G,1973.59
2074,Roupa 2074,G,3503.13
2075,Roupa 2075,PP,3101.0
2076,Roupa 2076,G,1728.74
2077,Roupa 2077,G,3909.43
2078,Roupa 2078,P,3197.02
2079,Roupa 2079,P,4258.84
2080,Roupa 2080,G,3788.21
2081,Roupa 2081,M,564.45
2082,Roupa 2082,G,3783.6
2083,Roupa 2083,P,1200.59
2084,Roupa 2084,G,827.17
2085,Roupa 2085,GG,4423.46
2086,Roupa 2086,P,701.23
2087,Roupa 2087,G,1778.69
2088,Roupa 2088,M,2680.18
2089,Roupa 2089,PP,4426.15
2090,Roupa 2090,GG,1092.59
2091,Roupa 2091,GG,4445.86
2092,Roupa 2092,P,4963.66
2093,Roupa 2093,GG,2439.17
2094,Roupa 2094,GG,541.91
2095,Roupa 2095,GG,1152.52
2096,Roupa 2096,PP,1821.14
2097,Roupa 2097,G,2606.32
2098,Roupa 2098,GG,4771.6
2099,Roupa 2099,PP,126.64
2100,Roupa 2100,M,4601.38
2101,Roupa 2101,M,4294.79
2102,Roupa 2102,P,3374.39
2103,Roupa 2103,GG,4994.17
2104,Roupa 2104,M,4502.08
2105,Roupa 2105,G,2536.57
2106,Roupa 2106,G,4308.84
2107,Roupa 2107,GG,2690.14
2108,Roupa 2108,GG,1846.81
2109,Roupa 2109,G,1823.1
2110,Roupa 2110,M,4073.2
2111,Roupa 2111,G,1416.71
2112,Roupa 2112,GG,2760.8
2113,Roupa 2113,G,4948.36
2114,Roupa 2114,GG,2302.99
2115,Roupa 2115,P,1603.7
2116,Roupa 2116,P,2400.77
2117,Roupa 2117,P,883.21
2118,Roupa 2118,P,4443.57
2119,Roupa 2119,P,3665.02
2120,Roupa 2120,G,823.53
2121,Roupa 2121,GG,3924.56
2122,Roupa 2122,P,2944.05
2123,Roupa 2123,PP,212.65
2124,Roupa 2124,M,2748.56
2125,Roupa 2125,P,3846.09
2126,Roupa 2126,GG,1817.47
2127,Roupa 2127,M,1880.46
2128,Roupa 2128,G,4885.64
2129,Roupa 2129,P,1850.38
2130,Roupa 2130,G,4983.23
2131,Roupa 2131,GG,403.16
2132,Roupa 2132,M,1409.51
2133,Roupa 2133,P,3609.68
2134,Roupa 2134,PP,1270.03
2135,Roupa 2135,PP,1121.79
2136,Roupa 2136,GG,1472.92
2137,Roupa 2137,P,2981.25
2138,Roupa 2138,PP,3353.05
2139,Roupa 2139,P,4586.46
2140,Roupa 2140,G,4949.66
2141,Roupa 2141,G,681.47
2142,Roupa 2142,M,2477.67
2143,Roupa 2143,P,324.23
2144,Roupa 2144,GG,1042.85
2145,Roupa 2145,PP,2726.16
2146,Roupa 2146,M,4640.6
2147,Roupa 2147,P,4197.29
2148,Roupa 2148,PP,2714.78
2149,Roupa 2149,P,4940.93
2150,Roupa 2150,PP,1142.32
2151,Roupa 2151,GG,1566.55
2152,Roupa 2152,PP,2597.5
2153,Roupa 2153,PP,896.44
2154,Roupa 2154,G,1791.1
2155,Roupa 2155,G,4281.27
2156,Roupa 2156,GG,235.56
2157,Roupa 2157,GG,939.0
2158,Roupa 2158,M,2503.6
2159,Roupa 2159,G,3900.33
2160,Roupa 2160,P,671.27
2161,Roupa 2161,M,4143.1
2162,Roupa 2162,P,400.24
2163,Roupa 2163,PP,1024.68
2164,Roupa 2164,G,3820.9
2165,Roupa 2165,GG,3196.38
2166,Roupa 2166,G,4890.82
2167,Roupa 2167,P,2094.61
2168,Roupa 2168,PP,859.07
2169,Roupa 2169,P,4236.03
2170,Roupa 2170,M,2436.87
2171,Roupa 2171,G,889.24
2172,Roupa 2172,GG,1238.19
2173,Roupa 2173,M,274.64
2174,Roupa 2174,G,2989.6
2175,Roupa 2175,P,3255.97
2176,Roupa 2176,P,1719.96
2177,Roupa 2177,M,3298.69
2178,Roupa 2178,M,2574.18
2179,Roupa 2179,G,2138.37
2180,Roupa 2180,PP,4198.37
2181,Roupa 2181,P,1020.55
2182,Roupa 2182,P,1345.57
2183,Roupa 2183,M,1317.09
2184,Roupa 2184,P,3209.96
2185,Roupa 2185,PP,4740.36
2186,Roupa 2186,M,847.3
2187,Roupa 2187,PP,2440.72
2188,Roupa 2188,M,1482.83
2189,Roupa 2189,M,768.99
2190,Roupa 2190,M,2197.12
2191,Roupa 2191,P,1918.64
2192,Roupa 2192,G,4416.05
2193,Roupa 2193,M,4912.28
2194,Roupa 2194,PP,345.93
2195,Roupa 2195,G,2060.89
2196,Roupa 2196,M,402.85
2197,Roupa 2197,G,1344.15
2198,Roupa 2198,GG,1479.24
2199,Roupa 2199,M,3719.4
2200,Roupa 2200,M,404.49
2201,Roupa 2201,PP,1683.61
2202,Roupa 2202,M,4509.79
2203,Roupa 2203,P,1154.56
2204,Roupa 2204,PP,4835.71
2205,Roupa 2205,P,1858.17
2206,Roupa 2206,G,3505.51
2207,Roupa 2207,PP,1809.48
2208,Roupa 2208,PP,1058.79
2209,Roupa 2209,M,1024.35
2210,Roupa 2210,M,2659.49
2211,Roupa 2211,M,1222.32
2212,Roupa 2212,GG,3464.49
2213,Roupa 2213,GG,4934.94
2214,Roupa 2214,M,4073.24
2215,Roupa 2215,M,899.44
2216,Roupa 2216,GG,1155.2
2217,Roupa 2217,PP,3056.84
2218,Roupa 2218,G,237.83
2219,Roupa 2219,P,956.1
2220,Roupa 2220,M,4336.66
2221,Roupa 2221,GG,2213.35
2222,Roupa 2222,M,4564.98
2223,Roupa 2223,GG,3375.55
2224,Roupa 2224,G,1107.99
2225,Roupa 2225,M,1817.89
2226,Roupa 2226,P,4792.91
2227,Roupa 2227,PP,4278.78
2228,Roupa 2228,M,1080.67
2229,Roupa 2229,P,1211.78
2230,Roupa 2230,M,4362.1
2231,Roupa 2231,GG,205.28
2232,Roupa 2232,GG,3667.37
2233,Roupa 2233,PP,3673.24
2234,Roupa 2234,M,4426.32
2235,Roupa 2235,GG,3638.51
2236,Roupa 2236,PP,3417.73
2237,Roupa 2237,G,2631.68
2238,Roupa 2238,GG,3470.71
2239,Roupa 2239,M,2997.99
2240,Roupa 2240,P,4963.27
2241,Roupa 2241,GG,3347.87
2242,Roupa 2242,P,3984.96
2243,Roupa 2243,GG,4236.59
2244,Roupa 2244,M,524.11
2245,Roupa 2245,G,3675.66
2246,Roupa 2246,P,1751.05
2247,Roupa 2247,P,933.29
2248,Roupa 2248,GG,2447.82
2249,Roupa 2249,G,4511.19
2250,Roupa 2250,GG,2413.27
2251,Roupa 2251,M,2937.59
2252,Roupa 2252,M,4419.11
2253,Roupa 2253,GG,1634.27
2254,Roupa 2254,G,2713.85
2255,Roupa 2255,M,4525.35
2256,Roupa 2256,PP,2928.26
2257,Roupa 2257,P,3411.68
2258,Roupa 2258,P,3104.05
2259,Roupa 2259,G,2271.8
2260,Roupa 2260,PP,147.43
2261,Roupa 2261,M,1716.68
2262,Roupa 2262,PP,1651.54
2263,Roupa 2263,P,313.75
2264,Roupa 2264,PP,1072.26
2265,Roupa 2265,P,4465.8
2266,Roupa 2266,PP,3950.32
2267,Roupa 2267,PP,2922.1
2268,Roupa 2268,PP,1399.8
2269,Roupa 2269,G,1562.07
2270,Roupa 2270,PP,3933.83
2271,Roupa 2271,G,2916.71
2272,Roupa 2272,PP,3371.12
2273,Roupa 2273,PP,947.31
2274,Roupa 2274,PP,1898.59
2275,Roupa 2275,G,2449.5
2276,Roupa 2276,M,1277.95
2277,Roupa 2277,P,2721.47
2278,Roupa 2278,M,2160.68
2279,Roupa 2279,M,3851.53
2280,Roupa 2280,GG,1371.63
2281,Roupa 2281,M,3008.33
2282,Roupa 2282,PP,1986.69
2283,Roupa 2283,M,2139.54
2284,Roupa 2284,P,1039.84
2285,Roupa 2285,M,2788.62
2286,Roupa 2286,M,762.34
2287,Roupa 2287,G,1512.89
2288,Roupa 2288,G,1202.89
2289,Roupa 2289,PP,4882.68
2290,Roupa 2290,M,1438.04
2291,Roupa 2291,P,2271.0
2292,Roupa 2292,P,1066.85
2293,Roupa 2293,PP,4523.61
2294,Roupa 2294,G,4982.27
2295,Roupa 2295,G,4251.34
2296,Roupa 2296,GG,2871.03
2297,Roupa 2297,GG,1515.57
2298,Roupa 2298,M,3260.07
2299,Roupa 2299,GG,2808.0
2300,Roupa 2300,M,652.04
2301,Roupa 2301,PP,1239.06
2302,Roupa 2302,G,4138.97
2303,Roupa 2303,PP,1075.75
2304,Roupa 2304,P,191.72
2305,Roupa 2305,P,1438.46
2306,Roupa 2306,G,445.33
2307,Roupa 2307,G,2362.95
2308,Roupa 2308,M,467.68
2309,Roupa 2309,GG,4285.61
2310,Roupa 2310,G,4124.23
2311,Roupa 2311,G,2526.31
2312,Roupa 2312,G,3868.39
2313,Roupa 2313,GG,4771.34
2314,Roupa 2314,GG,433.29
2315,Roupa 2315,P,1646.29
2316,Roupa 2316,PP,1636.2
2317,Roupa 2317,PP,2175.84
2318,Roupa 2318,G,2296.07
2319,Roupa 2319,PP,812.95
2320,Roupa 2320,PP,1219.92
2321,Roupa 2321,G,587.7
2322,Roupa 2322,P,1746.59
2323,Roupa 2323,M,3853.0
2324,Roupa 2324,P,1895.7
2325,Roupa 2325,GG,959.13
2326,Roupa 2326,G,1230.67
2327,Roupa 2327,P,4561.1
2328,Roupa 2328,P,1511.08
2329,Roupa 2329,G,4046.18
2330,Roupa 2330,P,504.63
2331,Roupa 2331,PP,3298.36
2332,Roupa 2332,PP,3685.06
2333,Roupa 2333,PP,2387.68
2334,Roupa 2334,GG,325.45
2335,Roupa 2335,GG,535.97
2336,Roupa 2336,PP,4609.26
2337,Roupa 2337,M,4914.14
2338,Roupa 2338,M,313.54
2339,Roupa 2339,M,2177.78
2340,Roupa 2340,P,1946.97
2341,Roupa 2341,M,2478.23
2342,Roupa 2342,P,1236.27
2343,Roupa 2343,GG,4776.6
2344,Roupa 2344,M,2991.87
2345,Roupa 2345,M,1802.69
2346,Roupa 2346,PP,107.29
2347,Roupa 2347,G,4570.77
2348,Roupa 2348,G,2451.31
2349,Roupa 2349,P,2205.38
2350,Roupa 2350,G,3672.7
2351,Roupa 2351,P,850.89
2352,Roupa 2352,GG,4896.95
2353,Roupa 2353,M,220.69
2354,Roupa 2354,M,2246.04
2355,Roupa 2355,GG,2575.65
2356,Roupa 2356,PP,236.16
2357,Roupa 2357,P,2405.49
2358,Roupa 2358,G,3242.87
2359,Roupa 2359,G,4931.02
2360,Roupa 2360,P,2656.01
2361,Roupa 2361,GG,4901.65
2362,Roupa 2362,M,2289.58
2363,Roupa 2363,GG,4709.4
2364,Roupa 2364,P,494.46
2365,Roupa 2365,PP,3071.11
2366,Roupa 2366,PP,959.16
2367,Roupa 2367,M,4323.16
2368,Roupa 2368,PP,1830.23
2369,Roupa 2369,PP,271.95
2370,Roupa 2370,M,3938.54
2371,Roupa 2371,PP,1504.88
2372,Roupa 2372,GG,4664.81
2373,Roupa 2373,PP,273.91
2374,Roupa 2374,M,2257.28
2375,Roupa 2375,P,3628.98
2376,Roupa 2376,G,3116.61
2377,Roupa 2377,P,1107.05
2378,Roupa 2378,GG,3520.0
2379,Roupa 2379,G,498.39
2380,Roupa 2380,P,1766.43
2381,Roupa 2381,PP,1390.14
2382,Roupa 2382,PP,4397.58
2383,Roupa 2383,G,4111.43
2384,Roupa 2384,PP,1404.26
2385,Roupa 2385,PP,3746.97
2386,Roupa 2386,P,2568.18
2387,Roupa 2387,G,3727.58
2388,Roupa 2388,P,521.89
2389,Roupa 2389,G,2657.9
2390,Roupa 2390,PP,4630.71
2391,Roupa 2391,M,1398.97
2392,Roupa 2392,GG,1070.1
2393,Roupa 2393,GG,3263.84
2394,Roupa 2394,GG,4954.93
2395,Roupa 2395,G,3028.07
2396,Roupa 2396,M,157.74
2397,Roupa 2397,G,4187.05
2398,Roupa 2398,M,1666.8
2399,Roupa 2399,P,3097.09
2400,Roupa 2400,GG,1868.35
2401,Roupa 2401,G,2286.94
2402,Roupa 2402,P,1129.6
2403,Roupa 2403,P,2228.62
2404,Roupa 2404,P,3397.57
2405,Roupa 2405,M,2528.4
2406,Roupa 2406,G,4083.83
2407,Roupa 2407,G,728.41
2408,Roupa 2408,GG,2567.11
2409,Roupa 2409,GG,3487.79
2410,Roupa 2410,G,3987.0
2411,Roupa 2411,GG,4340.96
2412,Roupa 2412,PP,3218.37
2413,Roupa 2413,P,199.22
